A,C,P,B,L,R,LA
3,1,60,20.6598,190,0.94,0
3,1,60,20.6598,163.733,0.98,0
3,1,60,20.6468,150.4,1,0
3,1,60,20.6468,176.867,0.96,0
3,1,60,20.6695,151.2,1,0
3,1,60,20.6533,163.533,0.98,0
3,1,60,20.6793,163.533,0.98,0
3,1,60,20.663,163.333,0.98,0
3,1,60,20.7053,163.533,0.98,0
3,1,60,20.637,150.6,1,0
3,1,60,20.65,150,1,0
3,1,60,20.6663,176.867,0.96,0
3,1,60,20.6695,176.867,0.96,0
3,1,60,20.6695,176.667,0.96,0
3,1,60,20.663,163.533,0.98,0
3,1,69,18.691,163.333,0.98,1
3,1,69,18.6845,150.4,1,1
3,1,69,18.7007,150.2,1,1
3,1,69,18.7105,163.533,0.98,1
3,1,69,18.691,150.2,1,1
3,1,69,18.691,150.2,1,1
3,1,69,18.6975,150.2,1,1
3,1,69,18.6975,150.4,1,1
3,1,69,18.704,150,1,1
3,1,69,18.7007,150,1,1
3,1,69,18.6877,163.333,0.98,1
3,1,69,18.7105,150.2,1,1
3,1,69,18.6975,150.2,1,1
3,1,69,18.7072,150.4,1,1
3,1,69,18.691,150,1,1
3,2,60,24.9968,130.2,1,2
3,2,60,24.9805,143.533,0.98,2
3,2,60,24.974,143.733,0.98,2
3,2,60,24.9838,130,1,2
3,2,60,24.9968,130.8,1,2
3,2,60,24.9903,130,1,2
3,2,60,24.9935,143.333,0.98,2
3,2,60,25.0001,130.6,1,2
3,2,60,24.9968,130.2,1,2
3,2,60,24.9968,130.6,1,2
3,2,60,24.9773,130,1,2
3,2,60,25.0001,130.6,1,2
3,2,60,24.9838,130.2,1,2
3,2,60,25.0033,130.4,1,2
3,2,60,25.0131,144.133,0.98,2
3,2,72,28.9971,130.2,1,3
3,2,72,29.0133,130.4,1,3
3,2,72,28.9905,130.2,1,3
3,2,72,29.0198,130.2,1,3
3,2,72,29.0524,130,1,3
3,2,72,28.9938,130,1,3
3,2,72,29.0198,130.2,1,3
3,2,72,29.0068,130.2,1,3
3,2,72,29.0003,130.4,1,3
3,2,72,29.0263,130.2,1,3
3,2,72,29.0296,143.533,0.98,3
3,2,72,29.0263,130.2,1,3
3,2,72,29.0133,130.2,1,3
3,2,72,29.0068,143.333,0.98,3
3,2,72,29.0133,143.733,0.98,3
3,2,87,25.8428,160.4,1,4
3,2,87,25.8428,160.4,1,4
3,2,87,25.8428,173.533,0.98,4
3,2,87,25.8265,160.6,1,4
3,2,87,25.8428,160.4,1,4
3,2,87,25.8395,160,1,4
3,2,87,25.8395,160.2,1,4
3,2,87,25.8395,160.4,1,4
3,2,87,25.8363,160.8,1,4
3,2,87,25.8395,160.2,1,4
3,2,87,25.833,160,1,4
3,2,87,25.8363,160.2,1,4
3,2,87,25.8655,160.8,1,4
3,2,87,25.8298,160.2,1,4
3,2,87,25.846,160.2,1,4
3,4,60,31.763,150.2,1,5
3,4,60,31.7695,150,1,5
3,4,60,31.7793,150,1,5
3,4,60,31.7663,150,1,5
3,4,60,31.7793,150.2,1,5
3,4,60,31.763,150,1,5
3,4,60,31.789,150.2,1,5
3,4,60,31.763,150,1,5
3,4,60,31.7695,150.2,1,5
3,4,60,31.7825,150.2,1,5
3,4,60,31.7598,150.2,1,5
3,4,60,31.7858,150.2,1,5
3,4,60,31.7825,150,1,5
3,4,60,31.776,150.4,1,5
3,4,60,31.7793,150,1,5
3,4,90,28.1256,171,1,6
3,4,90,28.1093,170.4,1,6
3,4,90,28.1353,170.2,1,6
3,4,90,28.1093,170,1,6
3,4,90,28.1158,170.4,1,6
3,4,90,28.1126,170.6,1,6
3,4,90,28.106,170.2,1,6
3,4,90,28.106,170.2,1,6
3,4,90,28.1093,170,1,6
3,4,90,28.1256,170.6,1,6
3,4,90,28.1158,170,1,6
3,4,90,28.1191,170.2,1,6
3,4,90,28.0963,170,1,6
3,4,90,28.1191,170.2,1,6
3,4,90,28.1223,170.2,1,6
3,5,60,36.8443,180.8,1,7
3,5,60,36.8346,180.2,1,7
3,5,60,36.8443,180,1,7
3,5,60,36.8411,180,1,7
3,5,60,36.8508,180.2,1,7
3,5,60,36.8476,180.6,1,7
3,5,60,36.8378,193.333,0.98,7
3,5,60,36.8573,180.2,1,7
3,5,60,36.8541,181.2,1,7
3,5,60,36.8378,180.4,1,7
3,5,60,36.8346,180,1,7
3,5,60,36.8476,180.6,1,7
3,5,60,36.8411,180.6,1,7
3,5,60,36.8346,180,1,7
3,5,60,36.8411,180.2,1,7
3,5,91,31.4211,180.2,1,8
3,5,91,31.4243,180.6,1,8
3,5,91,31.4276,180,1,8
3,5,91,31.4504,180.4,1,8
3,5,91,31.4309,180.2,1,8
3,5,91,31.4276,180.2,1,8
3,5,91,31.4439,180.2,1,8
3,5,91,31.4309,180.2,1,8
3,5,91,31.4504,180.4,1,8
3,5,91,31.4309,180,1,8
3,5,91,31.4471,180.6,1,8
